Track	Artist	URL
Faint	Linkin Park	http://www.last.fm/music/Linkin+Park/_/Faint
Numb	Linkin Park	http://www.last.fm/music/Linkin+Park/_/Numb
In the End	Linkin Park	http://www.last.fm/music/Linkin+Park/_/In+the+End
Hard Out Here	Lily Allen	http://www.last.fm/music/Lily+Allen/_/Hard+Out+Here
Insincerely Yours	Lily Allen	http://www.last.fm/music/Lily+Allen/_/Insincerely+Yours
L8 CMMR	Lily Allen	http://www.last.fm/music/Lily+Allen/_/L8+CMMR
Sheezus	Lily Allen	http://www.last.fm/music/Lily+Allen/_/Sheezus
Smile	Lily Allen	http://www.last.fm/music/Lily+Allen/_/Smile
Satellite	Lena	http://www.last.fm/music/Lena/_/Satellite
Die Young	Ke$ha	http://www.last.fm/music/Ke$ha/_/Die+Young
TiK ToK	Ke$ha	http://www.last.fm/music/Ke$ha/_/TiK+ToK
Hydrophone Breakdown (Secret of the Deep Sea)	JigginJonT	http://www.last.fm/music/JigginJonT/_/Hydrophone+Breakdown+(Secret+of+the+Deep+Sea)
Flood	Jars of Clay	http://www.last.fm/music/Jars+of+Clay/_/Flood
The Reason	Hoobastank	http://www.last.fm/music/Hoobastank/_/The+Reason
Wake Me Up When September Ends	Green Day	http://www.last.fm/music/Green+Day/_/Wake+Me+Up+When+September+Ends
Feel Good Inc.	Gorillaz	http://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Midnight Express	Extreme	http://www.last.fm/music/Extreme/_/Midnight+Express
Tears in Heaven	Eric Clapton	http://www.last.fm/music/Eric+Clapton/_/Tears+in+Heaven
I See Fire	Ed Sheeran	http://www.last.fm/music/Ed+Sheeran/_/I+See+Fire
Sing	Ed Sheeran	http://www.last.fm/music/Ed+Sheeran/_/Sing
Riders On The Storm - New Stereo Mix Advanced Resolution	The Doors	http://www.last.fm/music/The+Doors/_/Riders+On+The+Storm+-+New+Stereo+Mix+Advanced+Resolution
Short Skirts (Tifa's Theme)	djpretzel, Vigilante	http://www.last.fm/music/djpretzel,+Vigilante/_/Short+Skirts+(Tifa%27s+Theme)
Get Lucky (Radio Edit) [feat. Pharrell Williams]	Daft Punk	http://www.last.fm/music/Daft+Punk/_/Get+Lucky+(Radio+Edit)+%5Bfeat.+Pharrell+Williams%5D
Calm After The Storm - Radio Edit	The Common Linnets	http://www.last.fm/music/The+Common+Linnets/_/Calm+After+The+Storm+-+Radio+Edit
Violet Hill	Coldplay	http://www.last.fm/music/Coldplay/_/Violet+Hill
Viva la Vida	Coldplay	http://www.last.fm/music/Coldplay/_/Viva+la+Vida
Magic	Coldplay	http://www.last.fm/music/Coldplay/_/Magic
Rather Be (feat. Jess Glynne)	Clean Bandit	http://www.last.fm/music/Clean+Bandit/_/Rather+Be+(feat.+Jess+Glynne)
Final Fantasy VIII 'Fisherman's Revelation' OC ReMix	Bladiator, Tepid	http://www.last.fm/music/Bladiator,+Tepid/_/Final+Fantasy+VIII+%27Fisherman%27s+Revelation%27+OC+ReMix
Stand by Me	Ben E. King	http://www.last.fm/music/Ben+E.+King/_/Stand+by+Me
Be Yourself	Audioslave	http://www.last.fm/music/Audioslave/_/Be+Yourself
This Can't Be Love - Alternate Take 2	Art Tatum	http://www.last.fm/music/Art+Tatum/_/This+Can%27t+Be+Love+-+Alternate+Take+2
Rubber Bullets	10cc	http://www.last.fm/music/10cc/_/Rubber+Bullets
The Fear	Lily Allen	http://www.last.fm/music/Lily+Allen/_/The+Fear
Jedna chwila	Kasia Malejonek	http://www.last.fm/music/Kasia+Malejonek/_/Jedna+chwila
To France	Maggie Reilly	http://www.last.fm/music/Maggie+Reilly/_/To+France
Supergirl	Reamonn	http://www.last.fm/music/Reamonn/_/Supergirl
Now Is the Winter (The Mines of Narshe)	Mustin	http://www.last.fm/music/Mustin/_/Now+Is+the+Winter+(The+Mines+of+Narshe)
The Impresario (Opera Sequence)	Jake Kaufman, Tommy Pedrini	http://www.last.fm/music/Jake+Kaufman,+Tommy+Pedrini/_/The+Impresario+(Opera+Sequence)
Trójkąty i kwadraty	Dawid Podsiadło	http://www.last.fm/music/Dawid+Podsiad%C5%82o/_/Tr%C3%B3jk%C4%85ty+i+kwadraty
Undercover Martyn	Two Door Cinema Club	http://www.last.fm/music/Two+Door+Cinema+Club/_/Undercover+Martyn
Nutshell	Alice in Chains	http://www.last.fm/music/Alice+in+Chains/_/Nutshell
And I	Dawid Podsiadło	http://www.last.fm/music/Dawid+Podsiad%C5%82o/_/And+I
Notes	Pustki	http://www.last.fm/music/Pustki/_/Notes
Kalambury	Pustki	http://www.last.fm/music/Pustki/_/Kalambury
Tak bardzo się starałem	Czerwone Gitary	http://www.last.fm/music/Czerwone+Gitary/_/Tak+bardzo+si%C4%99+stara%C5%82em
Takie ładne oczy	Czerwone Gitary	http://www.last.fm/music/Czerwone+Gitary/_/Takie+%C5%82adne+oczy
Naïve	The Kooks	http://www.last.fm/music/The+Kooks/_/Na%C3%AFve
Eddie's Gun	The Kooks	http://www.last.fm/music/The+Kooks/_/Eddie%27s+Gun
Przyjaciel	Mate.O	http://www.last.fm/music/Mate.O/_/Przyjaciel
Moonlight Shadow	Maggie Reilly	http://www.last.fm/music/Maggie+Reilly/_/Moonlight+Shadow
Lavender	Marillion	http://www.last.fm/music/Marillion/_/Lavender
Tchu mi brak	Pustki	http://www.last.fm/music/Pustki/_/Tchu+mi+brak
Slajdy	Pustki	http://www.last.fm/music/Pustki/_/Slajdy
Hand in My Pocket	Alanis Morissette	http://www.last.fm/music/Alanis+Morissette/_/Hand+in+My+Pocket
Zapomnij	Ballady i Romanse	http://www.last.fm/music/Ballady+i+Romanse/_/Zapomnij
Tylko miłość (Zdarzyło się)	Magda Umer	http://www.last.fm/music/Magda+Umer/_/Tylko+mi%C5%82o%C5%9B%C4%87+(Zdarzy%C5%82o+si%C4%99)
Ta Ostatnia Niedziela	Maria Sadowska	http://www.last.fm/music/Maria+Sadowska/_/Ta+Ostatnia+Niedziela
Tango Milonga	Mieczysław Fogg	http://www.last.fm/music/Mieczys%C5%82aw+Fogg/_/Tango+Milonga
Un Peu Demonde	Pinnawela	http://www.last.fm/music/Pinnawela/_/Un+Peu+Demonde
Rewolucja	Maria Sadowska	http://www.last.fm/music/Maria+Sadowska/_/Rewolucja
Nic do powiedzenia	Pustki	http://www.last.fm/music/Pustki/_/Nic+do+powiedzenia
Summer's End	Foo Fighters	http://www.last.fm/music/Foo+Fighters/_/Summer%27s+End
Pretty in Scarlet	Guano Apes	http://www.last.fm/music/Guano+Apes/_/Pretty+in+Scarlet
Kiss the Dawn	Guano Apes	http://www.last.fm/music/Guano+Apes/_/Kiss+the+Dawn
Quietly	Guano Apes	http://www.last.fm/music/Guano+Apes/_/Quietly
Living in a Lie	Guano Apes	http://www.last.fm/music/Guano+Apes/_/Living+in+a+Lie
Jesień (przyszło mi zwariować)	Pustki	http://www.last.fm/music/Pustki/_/Jesie%C5%84+(przysz%C5%82o+mi+zwariowa%C4%87)
Parzydełko	Pustki	http://www.last.fm/music/Pustki/_/Parzyde%C5%82ko
Słabość chwilowa	Pustki	http://www.last.fm/music/Pustki/_/S%C5%82abo%C5%9B%C4%87+chwilowa
Każda Minuta	Maleo Reggae Rockers	http://www.last.fm/music/Maleo+Reggae+Rockers/_/Ka%C5%BCda+Minuta
Trojkąt opatrzności	Stare Dobre Małżeństwo	http://www.last.fm/music/Stare+Dobre+Ma%C5%82%C5%BCe%C5%84stwo/_/Trojk%C4%85t+opatrzno%C5%9Bci
Nie rozdziobią nas kruki	Stare Dobre Małżeństwo	http://www.last.fm/music/Stare+Dobre+Ma%C5%82%C5%BCe%C5%84stwo/_/Nie+rozdziobi%C4%85+nas+kruki
Serca Nie Oszukasz	Maleo Reggae Rockers	http://www.last.fm/music/Maleo+Reggae+Rockers/_/Serca+Nie+Oszukasz
Od Nova	Maleo Reggae Rockers	http://www.last.fm/music/Maleo+Reggae+Rockers/_/Od+Nova
Czekamy	Maleo Reggae Rockers	http://www.last.fm/music/Maleo+Reggae+Rockers/_/Czekamy
Chant 2006	Maleo Reggae Rockers	http://www.last.fm/music/Maleo+Reggae+Rockers/_/Chant+2006
Eye in the Sky	The Alan Parsons Project	http://www.last.fm/music/The+Alan+Parsons+Project/_/Eye+in+the+Sky
I Love This Radio (Theme of Love)	Theory of Nonexistence	http://www.last.fm/music/Theory+of+Nonexistence/_/I+Love+This+Radio+(Theme+of+Love)
Sprzedawcy marzeń	Myslovitz	http://www.last.fm/music/Myslovitz/_/Sprzedawcy+marze%C5%84
Książe życia umiera	Myslovitz	http://www.last.fm/music/Myslovitz/_/Ksi%C4%85%C5%BCe+%C5%BCycia+umiera
Uonin's Piece	Manu Cornet	http://www.last.fm/music/Manu+Cornet/_/Uonin%27s+Piece
Distance	Manu Cornet	http://www.last.fm/music/Manu+Cornet/_/Distance
Missing	The xx	http://www.last.fm/music/The+xx/_/Missing
W deszczu maleńkich, żółtych kwiatów	Myslovitz	http://www.last.fm/music/Myslovitz/_/W+deszczu+male%C5%84kich,+%C5%BC%C3%B3%C5%82tych+kwiat%C3%B3w
Ukryte	Myslovitz	http://www.last.fm/music/Myslovitz/_/Ukryte
Nad rzekami Babilonu	2TM2,3	http://www.last.fm/music/2TM2,3/_/Nad+rzekami+Babilonu
Dry Your Eyes	The Streets	http://www.last.fm/music/The+Streets/_/Dry+Your+Eyes
Sex on Fire	Kings of Leon	http://www.last.fm/music/Kings+of+Leon/_/Sex+on+Fire
Lovesong	Adele	http://www.last.fm/music/Adele/_/Lovesong
Sen o Warszawie	Czesław Niemen	http://www.last.fm/music/Czes%C5%82aw+Niemen/_/Sen+o+Warszawie
Sekrety i kłamstwa	Myslovitz	http://www.last.fm/music/Myslovitz/_/Sekrety+i+k%C5%82amstwa
Nie dokazuj	Marek Grechuta	http://www.last.fm/music/Marek+Grechuta/_/Nie+dokazuj
Marionetki	Czesław Niemen	http://www.last.fm/music/Czes%C5%82aw+Niemen/_/Marionetki
Nic nie może wiecznie trwać	Anna Jantar	http://www.last.fm/music/Anna+Jantar/_/Nic+nie+mo%C5%BCe+wiecznie+trwa%C4%87
Slow Country	Gorillaz	http://www.last.fm/music/Gorillaz/_/Slow+Country
Double Bass	Gorillaz	http://www.last.fm/music/Gorillaz/_/Double+Bass
Tomorrow Comes Today	Gorillaz	http://www.last.fm/music/Gorillaz/_/Tomorrow+Comes+Today
Blood on the Asphalt [Richter Mix] (Guile Ending #1)	Richter, Shael Riley	http://www.last.fm/music/Richter,+Shael+Riley/_/Blood+on+the+Asphalt+%5BRichter+Mix%5D+(Guile+Ending+%231)
Close	Norman Legies	http://www.last.fm/music/Norman+Legies/_/Close
Monkey Merengue (Bonus Intro)	bustatunez	http://www.last.fm/music/bustatunez/_/Monkey+Merengue+(Bonus+Intro)
Slumber on a City Corner (Dreams Dreams : In Silent Memory)	Audio Fidelity, Josh Dunlap, Eric Griffin, Ben Charles	http://www.last.fm/music/Audio+Fidelity,+Josh+Dunlap,+Eric+Griffin,+Ben+Charles/_/Slumber+on+a+City+Corner+(Dreams+Dreams+:+In+Silent+Memory)
Coffee or Tea	The 7th Guest	http://www.last.fm/music/The+7th+Guest/_/Coffee+or+Tea
Frozen Silence	Frozen Silence	http://www.last.fm/music/Frozen+Silence/_/Frozen+Silence
~to be loved is to love~ (The Miracle of Love)	Melody	http://www.last.fm/music/Melody/_/~to+be+loved+is+to+love~+(The+Miracle+of+Love)
Beneath the Surface	Kong in Concert (Disc 1)	http://www.last.fm/music/Kong+in+Concert+(Disc+1)/_/Beneath+the+Surface
Midnight at Club Corel (Mining Town)	Red Tailed Fox, Shnabubula	http://www.last.fm/music/Red+Tailed+Fox,+Shnabubula/_/Midnight+at+Club+Corel+(Mining+Town)
Hallelujah	Jeff Buckley	http://www.last.fm/music/Jeff+Buckley/_/Hallelujah
Painful	Staind	http://www.last.fm/music/Staind/_/Painful
Zanim pójdę	happysad	http://www.last.fm/music/happysad/_/Zanim+p%C3%B3jd%C4%99
One of Us	Joan Osborne	http://www.last.fm/music/Joan+Osborne/_/One+of+Us
Let Me Go	3 Doors Down	http://www.last.fm/music/3+Doors+Down/_/Let+Me+Go
Bad Day	Daniel Powter	http://www.last.fm/music/Daniel+Powter/_/Bad+Day
Hopes Fall to Water (Breath of Fire II - Crooked Ladder)	DragonAvenger, Level 99	http://www.last.fm/music/DragonAvenger,+Level+99/_/Hopes+Fall+to+Water+(Breath+of+Fire+II+-+Crooked+Ladder)
The Long Journey Ahead (Morning of Departure)	Diggi Dis	http://www.last.fm/music/Diggi+Dis/_/The+Long+Journey+Ahead+(Morning+of+Departure)
A Ring and a Promise (Club Mix) [Lamentation and a Promise (Prologue 2)]	bLiNd, Ashleigh Coryell	http://www.last.fm/music/bLiNd,+Ashleigh+Coryell/_/A+Ring+and+a+Promise+(Club+Mix)+%5BLamentation+and+a+Promise+(Prologue+2)%5D
The Rest Will Flow	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/The+Rest+Will+Flow
This Is No Rehearsal	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/This+Is+No+Rehearsal
Stranger by the Minute	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Stranger+by+the+Minute
Good Idea	The 7th Guest	http://www.last.fm/music/The+7th+Guest/_/Good+Idea
Gravity	John Mayer	http://www.last.fm/music/John+Mayer/_/Gravity
Everytime We Touch	Maggie Reilly	http://www.last.fm/music/Maggie+Reilly/_/Everytime+We+Touch
Wreck Of The Zephyr	Drop Trio	http://www.last.fm/music/Drop+Trio/_/Wreck+Of+The+Zephyr
Akkadia Rising (Awakening)	Avaris, the prophet of mephisto	http://www.last.fm/music/Avaris,+the+prophet+of+mephisto/_/Akkadia+Rising+(Awakening)
Snake Eater (Nocturnal remix) (Metal Gear 3: Snake's Revenge)	ilp0	http://www.last.fm/music/ilp0/_/Snake+Eater+(Nocturnal+remix)+(Metal+Gear+3:+Snake%27s+Revenge)
Blackest Eyes	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Blackest+Eyes
Clarity	John Mayer	http://www.last.fm/music/John+Mayer/_/Clarity
The Jazz Woman	Astrazz	http://www.last.fm/music/Astrazz/_/The+Jazz+Woman
King Of My Castle	Wamdue Project	http://www.last.fm/music/Wamdue+Project/_/King+Of+My+Castle
The World is Dreaming (Dreams Dreams)	Level 99 and The Dreamers	http://www.last.fm/music/Level+99+and+The+Dreamers/_/The+World+is+Dreaming+(Dreams+Dreams)
Anesthetize	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Anesthetize
Fear of a Blank Planet	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Fear+of+a+Blank+Planet
I Drive the Hearse	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/I+Drive+the+Hearse
Time Flies	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Time+Flies
Drawing the Line	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Drawing+the+Line
Be Careful	Buddy Johnson	http://www.last.fm/music/Buddy+Johnson/_/Be+Careful
Livin' Th' Dream	You, Me, And Everyone We Know	http://www.last.fm/music/You,+Me,+And+Everyone+We+Know/_/Livin%27+Th%27+Dream
Thieves of Fate (Days of Summer)	DrumUltimA, the prophet of mephisto, Geoffrey Taucer, Level 99	http://www.last.fm/music/DrumUltimA,+the+prophet+of+mephisto,+Geoffrey+Taucer,+Level+99/_/Thieves+of+Fate+(Days+of+Summer)
Goodbye, Thinker	Mattias Häggström Gerdt, Jillian Aversa	http://www.last.fm/music/Mattias+H%C3%A4ggstr%C3%B6m+Gerdt,+Jillian+Aversa/_/Goodbye,+Thinker
He Won't Go	Adele	http://www.last.fm/music/Adele/_/He+Won%27t+Go
Sagat (Street Fighter) - Coconut Milk	posu yan, Joshua Morse feat. Stacy Morse	http://www.last.fm/music/posu+yan,+Joshua+Morse+feat.+Stacy+Morse/_/Sagat+(Street+Fighter)+-+Coconut+Milk
Boy in the night	Lull	http://www.last.fm/music/Lull/_/Boy+in+the+night
Liryka, Liryka	Grzegorz Turnau	http://www.last.fm/music/Grzegorz+Turnau/_/Liryka,+Liryka
Cztery ściany świata	Czesław Niemen	http://www.last.fm/music/Czes%C5%82aw+Niemen/_/Cztery+%C5%9Bciany+%C5%9Bwiata
Dolne Miasto	Towary Zastępcze	http://www.last.fm/music/Towary+Zast%C4%99pcze/_/Dolne+Miasto
Droga Dluga Jest	Akurat	http://www.last.fm/music/Akurat/_/Droga+Dluga+Jest
Army Girl (Cammy Stage)	Malcos, Red Tailed Fox	http://www.last.fm/music/Malcos,+Red+Tailed+Fox/_/Army+Girl+(Cammy+Stage)
The Golden Ivories of Gaia (Various Themes)	Bladiator	http://www.last.fm/music/Bladiator/_/The+Golden+Ivories+of+Gaia+(Various+Themes)
Drown With Me	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Drown+With+Me
Allies	Guano Apes	http://www.last.fm/music/Guano+Apes/_/Allies
Trains	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Trains
360° Aliendrop (Kaleve mix)	Guano Apes	http://www.last.fm/music/Guano+Apes/_/360%C2%B0+Aliendrop+(Kaleve+mix)
Electric Nights	Guano Apes	http://www.last.fm/music/Guano+Apes/_/Electric+Nights
La Roue du Moulin	Norman Legies	http://www.last.fm/music/Norman+Legies/_/La+Roue+du+Moulin
Statues	Foo Fighters	http://www.last.fm/music/Foo+Fighters/_/Statues
Wolne ptaki	Varius Manx	http://www.last.fm/music/Varius+Manx/_/Wolne+ptaki
Simian Soirée (Klomp's Romp)	Joren de Bruin	http://www.last.fm/music/Joren+de+Bruin/_/Simian+Soir%C3%A9e+(Klomp%27s+Romp)
Nocnym pociągiem aż do końca świata	Myslovitz	http://www.last.fm/music/Myslovitz/_/Nocnym+poci%C4%85giem+a%C5%BC+do+ko%C5%84ca+%C5%9Bwiata
Frozen Landscape (Buried in Snow)	Tweek	http://www.last.fm/music/Tweek/_/Frozen+Landscape+(Buried+in+Snow)
Mieć czy być	Myslovitz	http://www.last.fm/music/Myslovitz/_/Mie%C4%87+czy+by%C4%87
Serenity (Main Theme of FINAL FANTASY VII)	Mustin	http://www.last.fm/music/Mustin/_/Serenity+(Main+Theme+of+FINAL+FANTASY+VII)
More Than Words	Extreme	http://www.last.fm/music/Extreme/_/More+Than+Words
Act 1-12: The Skies Hold No Angels for Us (Damcyan Castle)	Level 99, audio fidelity	http://www.last.fm/music/Level+99,+audio+fidelity/_/Act+1-12:+The+Skies+Hold+No+Angels+for+Us+(Damcyan+Castle)
Final Fantasy VII Short Skirts OC ReMix	djpretzel, Vigilante	http://www.last.fm/music/djpretzel,+Vigilante/_/Final+Fantasy+VII+Short+Skirts+OC+ReMix
Książka z drogą w tytule	Myslovitz	http://www.last.fm/music/Myslovitz/_/Ksi%C4%85%C5%BCka+z+drog%C4%85+w+tytule
Heaven Beside You	Alice in Chains	http://www.last.fm/music/Alice+in+Chains/_/Heaven+Beside+You
Piano Lessons	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Piano+Lessons
Open Car	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Open+Car
Arriving Somewhere but Not Here	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Arriving+Somewhere+but+Not+Here
Shallow	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Shallow
Deadwing	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Deadwing
Modlitwa	Breakout	http://www.last.fm/music/Breakout/_/Modlitwa
Lazarus	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Lazarus
Buying New Soul	Porcupine Tree	http://www.last.fm/music/Porcupine+Tree/_/Buying+New+Soul
Sway	The Kooks	http://www.last.fm/music/The+Kooks/_/Sway
Where Is My Mind?	Pixies	http://www.last.fm/music/Pixies/_/Where+Is+My+Mind%3F
Dieses Leben	Juli	http://www.last.fm/music/Juli/_/Dieses+Leben
It Can't Rain Everyday	P.O.D.	http://www.last.fm/music/P.O.D./_/It+Can%27t+Rain+Everyday
Shine With Me	P.O.D.	http://www.last.fm/music/P.O.D./_/Shine+With+Me
Milonga del Angel	Al Di Meola	http://www.last.fm/music/Al+Di+Meola/_/Milonga+del+Angel
Last Tango for Astor	Al Di Meola	http://www.last.fm/music/Al+Di+Meola/_/Last+Tango+for+Astor
Everlong	Foo Fighters	http://www.last.fm/music/Foo+Fighters/_/Everlong
Niepewność	Marek Grechuta	http://www.last.fm/music/Marek+Grechuta/_/Niepewno%C5%9B%C4%87
You and Me	Lifehouse	http://www.last.fm/music/Lifehouse/_/You+and+Me
Gadające głowy 80-06	Myslovitz	http://www.last.fm/music/Myslovitz/_/Gadaj%C4%85ce+g%C5%82owy+80-06
Zanim zrozumiesz	Varius Manx	http://www.last.fm/music/Varius+Manx/_/Zanim+zrozumiesz
Broken	Seether	http://www.last.fm/music/Seether/_/Broken
